reportingorg_ref,year,iati_usd_mil
,2013,15.954821288184
-,2023,0.03183520839999999
41AAA,2010,325.806313
41AAA,2011,89.478056
41AAA,2013,10.4454
41AAA,2014,209.000122
41AAA,2015,758.638936
41AAA,2016,1286.49354
41AAA,2017,222.718634
41AAA,2018,1004.060683
41AAA,2019,382.899439
41AAA,2020,995.597523
41AAA,2021,997.723901
41AAA,2022,1133.189512
41AAA,2023,559.294274
41AAA,2024,438.714563
44000,2012,0.689844
44000,2013,1.657726
44000,2014,1.638901
44000,2023,1025.65626
44000,2024,1864.247441
47111,2010,0.0
47111,2011,0.0
47111,2012,0.0
47111,2013,0.0
AF-MOE-118,2023,0.1596900466
AF-MOE-138,2017,0.7289823596999997
AF-MOE-138,2018,2.64164759
AF-MOE-138,2019,4.757841389999999
AF-MOE-611,2021,0.285238987986
AM-SRALE-222.160.00823,2019,0.07402800179999999
AM-SRALE-222.160.00823,2020,0.0940693968
AR-CENOC-16969-A,2017,1.4309957386
AR-CENOC-16969-A,2018,1.5584167628
AR-CENOC-16969-A,2019,1.5889377742
AR-CENOC-16969-A,2020,1.758937389
AT-UID-U74408937,2019,0.21541509916399984
AT-UID-U74408937,2020,0.5078785342019996
AT-UID-U74408937,2021,0.3459977379459997
AT-UID-U74408937,2023,0.2706589180119999
AT-ZVR-315688676,2019,0.075460787760633
AT-ZVR-315688676,2020,0.25736006290545443
AT-ZVR-315688676,2021,0.3334403556948798
AT-ZVR-315688676,2022,0.39587796219541244
AT-ZVR-315688676,2023,0.092576783589154
AU-ACNC-18055208636,2020,24.73850378139001
AU-ACNC-18055208636,2021,21.771435223440008
AU-ACNC-18055208636,2022,19.446735820400008
BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142,2018,0.03260431666666667
BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142,2019,0.5628956333333333
BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142,2021,0.097598
BD-NAB-0004,2024,0.48768020881771473
BD-NAB-0203,2021,0.01237128
BD-NAB-051,2016,0.15525955722899992
BD-NAB-051,2017,0.18486681809199992
BD-NAB-051,2018,0.09312529894999994
BD-NAB-051,2019,0.023096857334999985
BD-NAB-2004,2020,0.05348338719879998
BD-NAB-2004,2021,0.19934186261299988
BD-NAB-2004,2022,0.2419430060469999
BD-ROC-C-104266-12,2021,0.106908564
BD-ROC-C-104266-12,2022,0.1341500744
BD-ROC-C-104266-12,2023,0.1364462532
